tmmx (K),rmin (%),vs (m/s),vpd (kPa),pr (mm),pet (mm),erc (-),fm100 (%),fm1000 (%),th (Degrees clockwise from north),Drought (mm),Drought_30days,Drought_90days,month,cumsum,days_since_rain,santa_ana_flag,slope,aspect,label,fire_name,lat,lon,date,ndvi
309.4,25.3,2.2,2.49,0.0,6.6,52.0,11.0,12.6,216.0,-6.6,-177.19999980926514,-524.2000005245209,8,1,88,False,0.09133721907096856,37.70053643998759,1,GROVE,34.003791213623714,-117.99371864235091,2020-08-14,0.3682960803285812
295.6,27.1,3.1,1.11,0.0,2.8,49.0,12.3,12.8,297.0,-2.8,-64.49999976158142,-224.9000005722046,12,2,43,False,0.13892028391349623,148.3124564329407,1,BANNING,33.43465373858303,-118.49027255224149,2020-12-20,0.38085738891792964
296.4,60.5,2.6,0.53,0.0,4.8,37.0,13.8,14.7,161.0,-4.8,-137.6000006198883,-401.10000109672546,7,8,56,False,0.1591427737539524,267.65066241793085,1,MESA,34.04572041918345,-118.65336801456252,2020-07-13,0.5210866705686651
301.4,3.4,8.2,2.63,0.0,9.1,89.0,4.8,6.9,129.0,-9.1,-143.60000038146973,-526.1000008583069,10,0,120,False,0.057178771654240804,238.30059974358488,1,TICK,34.45403514994791,-118.38854859048595,2019-10-24,0.2692377102914464
292.3,17.9,5.5,1.26,0.0,4.8,69.0,7.8,9.2,116.0,-4.8,-131.70000004768372,-466.39999997615814,10,0,120,False,0.05721645781276026,182.70745706637763,1,MUREAU,34.15091945118483,-118.67394799065478,2019-10-30,0.3713709827776901
303.4,13.3,2.2,2.42,0.0,3.6,77.0,7.7,7.8,209.0,-3.6,-116.30000019073486,-412.09999895095825,11,0,120,False,0.009259397101477796,2.788421346126746,1,TOPANGA 2,34.106669217528705,-118.58949282242261,2019-11-16,0.5416360549860758
308.2,21.6,1.5,2.47,0.0,6.1,58.0,9.2,11.7,184.0,-6.1,-185.89999771118164,-448.79999673366547,8,7,68,False,0.0653875213749083,125.62030136511213,1,LAKE 2,34.10806334413674,-118.75910283578972,2019-08-02,0.392669798803483
296.9,23.8,3.0,1.36,0.0,3.5,66.0,9.3,9.3,125.0,-3.5,-102.39999890327454,-403.7999975681305,11,1,27,False,0.03146516263075111,200.97104884227164,1,WOOLSEY,34.11696446537254,-118.80016343862583,2018-11-08,0.392349128073467
307.6,8.0,2.1,2.91,0.0,5.4,84.0,5.6,7.3,142.0,-5.4,-174.7000002861023,-601.0999999046326,9,0,120,False,0.013905926689309595,283.64382255372,1,CHARLIE,34.518521595986556,-118.55674874258618,2018-09-22,0.2934748079391724
304.3,15.4,3.3,2.27,0.0,7.5,70.0,6.8,9.6,169.0,-7.5,-163.89999985694885,-305.5999985933304,6,14,24,False,0.037588157626807846,227.98743380364368,1,STONE,34.549202283279755,-118.29129930315237,2018-06-04,0.327571441831072
